LGA_Code,LGA_Name,Total_Median,Unit_Total_Median,House_Total_Median,Total_Count,Unit_Total_Count,House_Total_Count,Sample_Quality,Median_Weekly_Household_Income_2021,Rent_to_Income_Proxy,Rent_to_Income_Proxy_Pct,Unit_Rent_to_Income_Proxy,Unit_Rent_to_Income_Proxy_Pct,House_Rent_to_Income_Proxy,House_Rent_to_Income_Proxy_Pct,House_Unit_Rent_Gap,House_Unit_Rent_Premium_Pct,Population_2024,Population_2025,Population_Change,Population_Growth_Pct,Natural_Increase_2024_25,Net_Internal_Migration_2024_25,Net_Overseas_Migration_2024_25,Net_Migration_2024_25,Area_km2,Population_Density_2025,House_Approvals_2024_25,Other_Residential_Approvals_2024_25,Residual_Approval_Units_2024_25,Approvals_2024_25,Approvals_2025_26_FYTD,House_Approvals_per_1000,Other_Residential_Approvals_per_1000,Approvals_per_1000,Other_Residential_Approval_Share_Pct,Approvals_per_100_New_Residents,Affordability_Pressure_Score,Demand_Pressure_Score,Supply_Gap_Score,Weighted_Component_Score,Housing_Pressure_Index,Housing_Pressure_Category,Eligible_for_Score,Complete_Score
48540,Whyalla,310.0,250.0,350.0,200.0,35.0,165.0,Stronger (20+ bonds),1188,0.2609,26.1,0.2104,21.0,0.2946,29.5,100.0,40.0,21875.0,21720.0,-155.0,-0.7,20.0,-237.0,62.0,-175.0,1071.3,20.3,24.0,5.0,1.0,30.0,18.0,1.1,0.23,1.38,16.7,,7.5,3.8,90.6,27.4,11.3,Very Low,True,True
48260,Walkerville,600.0,550.0,950.0,65.0,25.0,25.0,Stronger (20+ bonds),2052,0.2924,29.2,0.268,26.8,0.463,46.3,400.0,72.7,8593.0,8673.0,80.0,0.9,-17.0,-59.0,156.0,97.0,3.5,2456.9,28.0,147.0,0.0,175.0,26.0,3.23,16.95,20.18,84.0,218.8,20.8,65.1,1.9,27.2,9.4,Very Low,True,True
46970,Roxby Downs,377.5,310.0,400.0,60.0,20.0,40.0,Stronger (20+ bonds),3140,0.1202,12.0,0.0987,9.9,0.1274,12.7,90.0,29.0,4099.0,4089.0,-10.0,-0.2,69.0,-108.0,29.0,-79.0,110.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.9,6.6,97.2,26.9,7.5,Very Low,True,True
45090,Naracoorte Lucindale,370.0,325.0,385.0,40.0,10.0,30.0,Stronger (20+ bonds),1435,0.2578,25.8,0.2265,22.7,0.2683,26.8,60.0,18.5,8949.0,8930.0,-19.0,-0.2,20.0,-107.0,68.0,-39.0,4519.7,2.0,31.0,0.0,0.0,31.0,11.0,3.47,0.0,3.47,0.0,,5.7,6.6,75.5,23.4,5.7,Very Low,True,True
46510,Prospect,575.0,490.0,650.0,200.0,95.0,105.0,Stronger (20+ bonds),2005,0.2868,28.7,0.2444,24.4,0.3242,32.4,160.0,32.7,23342.0,23459.0,117.0,0.5,66.0,-310.0,361.0,51.0,7.8,3010.8,38.0,247.0,1.0,286.0,147.0,1.62,10.53,12.19,86.4,244.4,15.1,40.6,17.0,22.0,3.8,Very Low,True,True
46860,Robe,302.5,240.0,450.0,10.0,,,Moderate (10–19 bonds),1220,0.248,24.8,,,,,,,1620.0,1621.0,1.0,0.1,12.0,-13.0,2.0,-11.0,1091.7,1.5,27.0,0.0,0.0,27.0,23.0,16.66,0.0,16.66,0.0,2700.0,3.8,27.4,11.3,11.6,1.9,Very Low,True,True
40250,Anangu Pitjantjatjara Yankunytjatjara,,,,,,,,1266,,,,,,,,,2653.0,2668.0,15.0,0.6,5.0,8.0,2.0,10.0,102348.1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,,,,,,Not scored,False,False
41010,Ceduna,425.0,,425.0,5.0,,5.0,Caution (<10 bonds),1381,0.3077,30.8,,,,,,,3754.0,3757.0,3.0,0.1,18.0,-23.0,8.0,-15.0,5420.3,0.7,19.0,0.0,0.0,19.0,9.0,5.06,0.0,5.06,0.0,633.3,,,,,,Not scored,False,False
41190,Cleve,350.0,220.0,350.0,,,,Suppressed / low sample,1110,0.3153,31.5,,,,,,,1761.0,1771.0,10.0,0.6,5.0,2.0,3.0,5.0,5018.8,0.4,2.0,0.0,0.0,2.0,4.0,1.13,0.0,1.13,0.0,20.0,,,,,,Not scored,False,False
41750,Elliston,230.0,240.0,230.0,,,,Suppressed / low sample,1135,0.2026,20.3,,,,,,,1054.0,1057.0,3.0,0.3,1.0,-1.0,3.0,2.0,6741.9,0.2,11.0,0.0,2.0,13.0,6.0,10.41,0.0,12.3,0.0,433.3,,,,,,Not scored,False,False
41830,Flinders Ranges,300.0,180.0,300.0,,,,Suppressed / low sample,1045,0.2871,28.7,,,,,,,1678.0,1662.0,-16.0,-1.0,-6.0,-13.0,3.0,-10.0,4070.5,0.4,2.0,0.0,0.0,2.0,0.0,1.2,0.0,1.2,0.0,,,,,,,Not scored,False,False
41960,Franklin Harbour,200.0,200.0,200.0,,,,Suppressed / low sample,1194,0.1675,16.8,,,,,,,1359.0,1367.0,8.0,0.6,-2.0,9.0,1.0,10.0,2755.6,0.5,8.0,0.0,0.0,8.0,6.0,5.85,0.0,5.85,0.0,100.0,,,,,,Not scored,False,False
