Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
Newton,,,,450.0,,,,450.0,30.0,660.0,35.0,650.0
Noarlunga Centre,,,,465.0,,,,465.0,,590.0,,560.0
Noarlunga Downs,,,,490.0,,,,490.0,15.0,580.0,15.0,565.0
North Adelaide,30.0,445.0,55.0,687.5,5.0,750.0,90.0,600.0,40.0,720.0,130.0,650.0
North Brighton,,250.0,,,,650.0,,250.0,10.0,750.0,15.0,675.0
North Haven,,,,500.0,,,,500.0,20.0,670.0,20.0,670.0
North Plympton,,400.0,,537.5,,620.0,10.0,510.0,10.0,630.0,20.0,577.5
Northfield,,385.0,,540.0,,,5.0,495.0,35.0,620.0,45.0,610.0
Northgate,,375.0,,,,,,375.0,30.0,695.0,30.0,687.5
Norton Summit,,,,,,,,,,590.0,,590.0
Norwood,10.0,435.0,40.0,550.0,5.0,682.5,55.0,540.0,40.0,720.0,100.0,600.0
Novar Gardens,,360.0,,,,,,360.0,5.0,695.0,10.0,647.5
O Halloran Hill,,,,,,,,,10.0,625.0,10.0,625.0
O Sullivan Beach,,,,450.0,,,,450.0,15.0,545.0,15.0,522.5
Oakden,,,,282.91,,,,282.91,15.0,625.0,20.0,550.0
Oaklands Park,,450.0,10.0,480.0,,662.5,15.0,480.0,35.0,640.0,50.0,600.0
Old Noarlunga,,,,,,,,,5.0,602.5,5.0,602.5
Old Reynella,,,,467.5,,,,467.5,15.0,630.0,20.0,620.0
One Tree Hill,,,,,,,,,,750.0,,750.0
Onkaparinga Heights,,,,,,,,,5.0,630.0,5.0,630.0
Onkaparinga Hills,,,,,,,,,5.0,690.0,5.0,690.0
Osborne,,375.0,,495.0,,,,435.0,10.0,600.0,15.0,590.0
Ottoway,,,5.0,455.0,,,5.0,455.0,10.0,600.0,15.0,530.0
Ovingham,,350.0,,465.0,,,,447.5,5.0,540.0,10.0,500.0
Panorama,,,,,,,,,,1000.0,,1000.0
Para Hills,,,,372.5,,,,372.5,45.0,600.0,45.0,600.0
Para Hills West,,,5.0,440.0,,460.0,10.0,440.0,20.0,630.0,25.0,530.0
Para Vista,,,,,,,,,20.0,610.0,20.0,610.0
Paradise,,295.0,,515.0,,630.0,10.0,520.0,50.0,570.0,60.0,560.0
Parafield Gardens,,460.0,,470.0,,590.0,10.0,475.0,95.0,600.0,105.0,600.0
Paralowie,,,10.0,234.0,,472.5,10.0,324.5,90.0,572.5,105.0,565.0
Park Holme,,,,470.0,,300.0,5.0,445.0,20.0,660.0,25.0,625.0
Parkside,,450.0,20.0,525.0,,600.0,25.0,530.0,30.0,737.5,60.0,620.0
Pasadena,,,,480.0,,,,480.0,5.0,665.0,10.0,650.0
Payneham,,450.0,10.0,500.0,,510.0,15.0,490.0,20.0,595.0,35.0,525.0
Payneham South,,390.0,,550.0,,750.0,,550.0,10.0,650.0,10.0,650.0
Penfield,,,,,,,,,,415.0,,415.0
Pennington,,,,,,,,,25.0,550.0,25.0,550.0
Peterhead,,395.0,,470.0,,,,432.5,,550.0,5.0,530.0
Plympton,10.0,420.0,30.0,477.5,,602.5,45.0,470.0,30.0,650.0,75.0,550.0
Plympton Park,,425.0,,495.0,,,5.0,490.0,25.0,680.0,40.0,600.0
Pooraka,,273.875,10.0,445.0,,600.0,15.0,472.5,35.0,597.5,50.0,570.0
Port Adelaide,,500.0,5.0,565.0,,680.0,10.0,565.0,25.0,650.0,30.0,650.0
Port Noarlunga,,365.0,,455.0,,597.5,10.0,435.0,15.0,630.0,20.0,600.0
Port Noarlunga South,,,,,,,,,15.0,650.0,15.0,650.0
Port Willunga,,,,450.0,,,,450.0,10.0,592.5,15.0,590.0
Prospect,15.0,350.0,60.0,497.5,,600.0,80.0,490.0,90.0,650.0,170.0,580.0
Queenstown,,,,415.0,,,,415.0,10.0,650.0,15.0,500.0
Redwood Park,,,,,,,,,15.0,600.0,15.0,600.0
Regency Park,,,,,,,,,,690.0,,690.0
Renown Park,,350.0,,470.0,,620.0,5.0,470.0,10.0,645.0,20.0,575.0
Reynella,,,,400.0,,560.0,,480.0,20.0,600.0,20.0,600.0
Reynella East,,,,,,,,,,620.0,,620.0
Richmond,,299.5,10.0,475.0,,610.0,15.0,430.0,15.0,680.0,30.0,585.0
Ridgehaven,,,,490.0,5.0,580.0,10.0,505.0,25.0,610.0,40.0,580.0
Ridleyton,,,,640.0,,,,700.0,10.0,695.0,10.0,692.5
Riverlea Park,,,,,,,,,35.0,670.0,35.0,670.0
Rose Park,,490.0,,550.0,,,5.0,550.0,10.0,900.0,20.0,750.0
Rosewater,,370.0,5.0,462.5,,,10.0,430.0,15.0,547.5,20.0,505.0
Rosslyn Park,,450.0,,515.0,,,,482.5,,810.0,5.0,810.0
Rostrevor,,,10.0,510.0,,665.0,10.0,515.0,30.0,680.0,45.0,650.0
Royal Park,,280.0,,515.0,,,,480.0,25.0,640.0,30.0,580.0
Royston Park,,,,605.0,,,,605.0,10.0,807.5,15.0,630.0
Salisbury,,380.0,30.0,425.0,5.0,522.5,40.0,430.0,55.0,550.0,100.0,500.0
Salisbury Downs,10.0,290.0,,,,500.0,10.0,300.0,40.0,575.0,55.0,560.0
Salisbury East,,400.0,5.0,430.0,,800.0,10.0,440.0,60.0,577.5,70.0,565.0
Salisbury Heights,,,,,,,,,5.0,625.0,15.0,280.0
Salisbury North,,127.15,,475.0,,400.0,,445.0,75.0,535.0,80.0,527.5
Salisbury Park,,,,,,,,,10.0,580.0,10.0,580.0
Salisbury Plain,,,,,,,,,10.0,565.0,10.0,565.0
Scott Creek,,,,,,,,,,450.0,,450.0
Seacliff,,,,497.5,,720.0,,500.0,10.0,700.0,15.0,680.0
Seacliff Park,,,,485.0,,,,485.0,10.0,630.0,10.0,630.0
Seacombe Gardens,,275.0,,371.35,,366.7,5.0,312.5,15.0,650.0,20.0,610.0
Seacombe Heights,,330.0,,,,,,330.0,,650.0,5.0,625.0
Seaford,,,,500.0,,530.0,,515.0,25.0,610.0,25.0,610.0
Seaford Heights,,,,,,,,,10.0,650.0,10.0,650.0
Seaford Meadows,,,,490.0,,560.0,5.0,495.0,20.0,590.0,25.0,590.0
Seaford Rise,,,,,,,,,15.0,577.5,15.0,577.5
Seaton,,420.0,10.0,460.0,5.0,585.0,20.0,485.0,75.0,665.0,95.0,650.0
Seaview Downs,,,,,,,,,10.0,570.0,15.0,550.0
Sefton Park,,,,460.0,,,,460.0,,600.0,5.0,540.0
Sellicks Beach,,,,,,,,,10.0,600.0,10.0,600.0
Sellicks Hill,,,,,,,,,,680.0,,680.0
Semaphore,,382.5,,450.0,,1000.0,10.0,450.0,15.0,625.0,25.0,510.0
Semaphore Park,,,,550.0,,,,550.0,20.0,600.0,25.0,580.0
Semaphore South,,,10.0,455.0,,,10.0,455.0,,570.0,10.0,460.0
Sheidow Park,,,,,,,,,15.0,700.0,15.0,700.0
Smithfield,5.0,98.4,,288.485,,310.33,10.0,171.155,25.0,540.0,40.0,520.0
Smithfield Plains,,237.9,,,,,,237.9,55.0,520.0,55.0,520.0
Somerton Park,,427.5,15.0,525.0,,600.0,20.0,522.5,15.0,750.0,35.0,600.0
South Brighton,,,10.0,550.0,,,10.0,550.0,15.0,725.0,25.0,630.0
South Plympton,,400.0,10.0,482.5,,,10.0,445.0,25.0,700.0,35.0,600.0
Springfield,,,,,,,,,,,,220.0
St Agnes,,,,485.0,,550.0,,550.0,15.0,610.0,20.0,572.5
St Clair,,,10.0,540.0,,700.0,10.0,550.0,30.0,600.0,45.0,590.0
St Georges,,,,575.0,,,,575.0,5.0,780.0,10.0,740.0
