Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Pressure_Category
Beverley,425.0,640.0,450.0,15.0,Low
Renmark West,,450.0,450.0,,Low
Gawler,440.0,490.0,450.0,5.0,Low
Elizabeth South,226.175,470.0,450.0,30.0,Low
Rapid Bay,,450.0,450.0,,Low
Reeves Plains,,450.0,450.0,,Low
Exeter,355.0,620.0,445.0,,Low
Cape Douglas,,445.0,445.0,,Low
Wool Bay,,445.0,445.0,,Low
Moonta,,440.0,440.0,,Low
American River,,440.0,440.0,,Low
Cowandilla,395.0,650.0,440.0,15.0,Low
Baudin Beach,355.0,450.0,440.0,,Low
North Beach,,440.0,440.0,,Low
Everard Park,425.0,990.0,437.5,10.0,Low
Saddleworth,250.0,500.0,437.5,5.0,Low
Thompson Beach,,435.0,435.0,,Low
Wallaroo,280.0,440.0,432.5,25.0,Low
Mount Gambier,300.0,460.0,430.0,270.0,Low
Country Total,300.0,450.0,430.0,2515.0,Low
Moorook South,,430.0,430.0,,Low
Whyalla Jenkins,,427.5,427.5,20.0,Low
Carrickalinga,350.0,500.0,425.0,,Low
Light Pass,,425.0,425.0,,Low
Bordertown,191.2,427.5,425.0,15.0,Low
Commissariat Point,,425.0,425.0,,Low
Rosetown,,425.0,425.0,,Low
Angaston,360.0,437.5,425.0,10.0,Low
Point Turton,,422.5,422.5,,Low
Cross Roads,,420.0,420.0,,Low
Kadina,,420.0,420.0,15.0,Low
Auburn,,415.0,415.0,,Low
West Richmond,415.0,475.0,415.0,5.0,Low
Penfield,,415.0,415.0,,Low
Edithburgh,,412.5,412.5,,Low
Ardrossan,410.0,400.0,405.0,10.0,Low
Willow Creek,,405.0,405.0,,Low
Port Macdonnell,,400.0,400.0,,Low
Port Pirie South,275.0,410.0,400.0,15.0,Low
Riverton,,400.0,400.0,,Low
Sandergrove,,400.0,400.0,,Low
Sevenhill,,400.0,400.0,,Low
Tailem Bend,247.0,400.0,400.0,5.0,Low
Bute,,400.0,400.0,,Low
Ceduna,,400.0,400.0,,Low
Cambrai,,400.0,400.0,,Low
Burra,,400.0,400.0,,Low
Kuitpo,,400.0,400.0,,Low
Mallala,,400.0,400.0,,Low
Blanche Harbor,,400.0,400.0,,Low
Coobowie,,400.0,400.0,,Low
Balaklava,,400.0,400.0,10.0,Low
Bolivar,,,400.0,,Low
Cobdogla,,400.0,400.0,,Low
Goolwa,335.0,490.0,397.5,15.0,Low
Minlaton,182.0,400.0,397.5,5.0,Low
Loxton,310.0,430.0,395.0,20.0,Low
Stirling North,,390.0,390.0,5.0,Low
Evanston South,,600.0,385.0,5.0,Low
Renmark,290.0,410.0,382.5,55.0,Low
Risdon Park,320.0,392.5,382.5,20.0,Low
Fisherman Bay,,380.0,380.0,,Low
Kingscote,260.0,400.0,380.0,15.0,Low
Port Augusta West,332.5,380.0,380.0,25.0,Low
Monarto,,380.0,380.0,,Low
James Well,,380.0,380.0,,Low
